instanceID,instanceType,experimentID,interval,bandwidthUpload,bandwitdhDownload,setId,vmId,cmd
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,2.56 Gbits/sec,14,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,14,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.79 Gbits/sec,14,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,2.54 Gbits/sec,14,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.94 Gbits/sec,14,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,14,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.73 Gbits/sec,14,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.83 Gbits/sec,14,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,14,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.42 Gbits/sec,14,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,14,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.88 Gbits/sec,4.88 Gbits/sec,15,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,15,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,15,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,15,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.45 Gbits/sec,15,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.80 Gbits/sec,15,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,15,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.81 Gbits/sec,15,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,15,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.93 Gbits/sec,15,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,15,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.85 Gbits/sec,16,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,16,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.59 Gbits/sec,16,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,16,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.48 Gbits/sec,16,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.59 Gbits/sec,16,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,16,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,16,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,3.98 Gbits/sec,16,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,16,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,16,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.69 Gbits/sec,17,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.90 Gbits/sec,17,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.31 Gbits/sec,17,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.43 Gbits/sec,17,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.29 Gbits/sec,17,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,17,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,17,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.92 Gbits/sec,17,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.25 Gbits/sec,17,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.78 Gbits/sec,17,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,2.58 Gbits/sec,17,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.81 Gbits/sec,18,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.32 Gbits/sec,18,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,18,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,18,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.58 Gbits/sec,18,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,18,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,18,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,4.97 Gbits/sec,4.97 Gbits/sec,18,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,3.79 Gbits/sec,3.04 Gbits/sec,18,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,747 Mbits/sec,4.97 Gbits/sec,18,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,933 Mbits/sec,4.97 Gbits/sec,18,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,1.49 Gbits/sec,1.12 Gbits/sec,19,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,667 Mbits/sec,19,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,730 Mbits/sec,4.97 Gbits/sec,19,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,763 Mbits/sec,19,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,779 Mbits/sec,19,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,746 Mbits/sec,599 Mbits/sec,19,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,754 Mbits/sec,19,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,730 Mbits/sec,4.97 Gbits/sec,19,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,778 Mbits/sec,19,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,746 Mbits/sec,614 Mbits/sec,19,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,738 Mbits/sec,2.60 Gbits/sec,19,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,1.45 Gbits/sec,1.06 Gbits/sec,20,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,1.14 Gbits/sec,20,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,620 Mbits/sec,20,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,658 Mbits/sec,20,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,781 Mbits/sec,20,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,654 Mbits/sec,20,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,1.03 Gbits/sec,20,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,656 Mbits/sec,20,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,660 Mbits/sec,20,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,672 Mbits/sec,20,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,989 Mbits/sec,20,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,1.42 Gbits/sec,1.49 Gbits/sec,21,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,725 Mbits/sec,21,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,717 Mbits/sec,21,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,763 Mbits/sec,21,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,593 Mbits/sec,21,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,587 Mbits/sec,21,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,821 Mbits/sec,1.07 Gbits/sec,21,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,746 Mbits/sec,597 Mbits/sec,21,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,890 Mbits/sec,21,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,744 Mbits/sec,761 Mbits/sec,21,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,643 Mbits/sec,21,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,1.39 Gbits/sec,1.11 Gbits/sec,22,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,802 Mbits/sec,622 Mbits/sec,22,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,742 Mbits/sec,1.25 Gbits/sec,22,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,662 Mbits/sec,22,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,636 Mbits/sec,22,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,937 Mbits/sec,22,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,638 Mbits/sec,22,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,714 Mbits/sec,22,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,885 Mbits/sec,22,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,755 Mbits/sec,22,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,685 Mbits/sec,22,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,1.42 Gbits/sec,1.57 Gbits/sec,23,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,823 Mbits/sec,607 Mbits/sec,23,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,888 Mbits/sec,23,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,744 Mbits/sec,743 Mbits/sec,23,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,743 Mbits/sec,23,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,590 Mbits/sec,23,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,892 Mbits/sec,23,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,666 Mbits/sec,23,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,825 Mbits/sec,23,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,744 Mbits/sec,23,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,659 Mbits/sec,23,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,1.37 Gbits/sec,1.53 Gbits/sec,24,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,817 Mbits/sec,744 Mbits/sec,24,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,626 Mbits/sec,24,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,853 Mbits/sec,24,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,743 Mbits/sec,24,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,746 Mbits/sec,594 Mbits/sec,24,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,592 Mbits/sec,24,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,669 Mbits/sec,24,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,1.12 Gbits/sec,24,14,
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,744 Mbits/sec,746 Mbits/sec,24,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,744 Mbits/sec,743 Mbits/sec,24,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,1.42 Gbits/sec,1.49 Gbits/sec,25,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,822 Mbits/sec,744 Mbits/sec,25,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,666 Mbits/sec,25,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,597 Mbits/sec,25,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,755 Mbits/sec,25,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,952 Mbits/sec,25,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,744 Mbits/sec,747 Mbits/sec,25,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,671 Mbits/sec,25,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,744 Mbits/sec,811 Mbits/sec,25,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,747 Mbits/sec,584 Mbits/sec,25,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,910 Mbits/sec,25,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,1.37 Gbits/sec,1.37 Gbits/sec,26,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,745 Mbits/sec,645 Mbits/sec,26,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,817 Mbits/sec,905 Mbits/sec,26,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,746 Mbits/sec,646 Mbits/sec,26,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,15.0 sec,743 Mbits/sec,844 Mbits/sec,26,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,27,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,27,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,27,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,27,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,27,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,27,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,27,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,27,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,27,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,27,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,27,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,28,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,28,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,28,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,28,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,28,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,28,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,28,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,28,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,28,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,28,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,28,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,29,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,29,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,29,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,29,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,29,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,29,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,29,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,29,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,29,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,29,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,29,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,30,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,30,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
i-031b2f76071a565fc,m5d.large,1573945123,,,,30,14,iperf -c 172.31.32.213 --dualtest --window 416k --time 15
