instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,mountPoint
i-0b6978a41a07130f3,1565302068-11,c4.large,60.322545289993286,10,10,1,TPC-B (sort of),simple,60 s,70863,data_directory = '/var/lib/postgresql/9.5/main'
i-0b6978a41a07130f3,1565302068-12,c4.large,60.328110456466675,10,10,1,TPC-B (sort of),simple,60 s,69375,data_directory = '/var/lib/postgresql/9.5/main'
i-0b6978a41a07130f3,1565302068-13,c4.large,60.25745344161987,10,10,1,TPC-B (sort of),simple,60 s,70181,data_directory = '/var/lib/postgresql/9.5/main'
i-0b6978a41a07130f3,1565302068-14,c4.large,60.361303091049194,10,10,1,TPC-B (sort of),simple,60 s,70786,data_directory = '/var/lib/postgresql/9.5/main'
i-0b6978a41a07130f3,1565302068-15,c4.large,60.3042471408844,10,10,1,TPC-B (sort of),simple,60 s,70381,data_directory = '/var/lib/postgresql/9.5/main'
i-040ee9fa2f29f4aea,1565302068-2,c4.large,0.31983137130737305,,,,,,,,data_directory = '/var/lib/postgresql/9.5/main'
i-040ee9fa2f29f4aea,1565302068-3,c4.large,60.43426203727722,10,10,1,TPC-B (sort of),simple,60 s,65304,data_directory = '/var/lib/postgresql/9.5/main'
i-040ee9fa2f29f4aea,1565302068-4,c4.large,60.30097055435181,10,10,1,TPC-B (sort of),simple,60 s,67106,data_directory = '/var/lib/postgresql/9.5/main'
i-040ee9fa2f29f4aea,1565302068-5,c4.large,60.24938416481018,10,10,1,TPC-B (sort of),simple,60 s,68249,data_directory = '/var/lib/postgresql/9.5/main'
i-040ee9fa2f29f4aea,1565302068-6,c4.large,60.84909009933472,10,10,1,TPC-B (sort of),simple,60 s,66988,data_directory = '/var/lib/postgresql/9.5/main'
i-040ee9fa2f29f4aea,1565302068-7,c4.large,60.4532732963562,10,10,1,TPC-B (sort of),simple,60 s,67986,data_directory = '/var/lib/postgresql/9.5/main'
i-040ee9fa2f29f4aea,1565302068-8,c4.large,60.50029730796814,10,10,1,TPC-B (sort of),simple,60 s,67455,data_directory = '/var/lib/postgresql/9.5/main'
i-040ee9fa2f29f4aea,1565302068-9,c4.large,60.29190683364868,10,10,1,TPC-B (sort of),simple,60 s,66430,data_directory = '/var/lib/postgresql/9.5/main'
i-040ee9fa2f29f4aea,1565302068-10,c4.large,60.29884910583496,10,10,1,TPC-B (sort of),simple,60 s,66607,data_directory = '/var/lib/postgresql/9.5/main'
i-040ee9fa2f29f4aea,1565302068-11,c4.large,60.24335813522339,10,10,1,TPC-B (sort of),simple,60 s,69047,data_directory = '/var/lib/postgresql/9.5/main'
i-040ee9fa2f29f4aea,1565302068-12,c4.large,60.36391830444336,10,10,1,TPC-B (sort of),simple,60 s,67253,data_directory = '/var/lib/postgresql/9.5/main'
i-040ee9fa2f29f4aea,1565302068-13,c4.large,60.26623606681824,10,10,1,TPC-B (sort of),simple,60 s,68090,data_directory = '/var/lib/postgresql/9.5/main'
i-040ee9fa2f29f4aea,1565302068-14,c4.large,60.23390245437622,10,10,1,TPC-B (sort of),simple,60 s,67720,data_directory = '/var/lib/postgresql/9.5/main'
i-040ee9fa2f29f4aea,1565302068-15,c4.large,60.22831153869629,10,10,1,TPC-B (sort of),simple,60 s,67006,data_directory = '/var/lib/postgresql/9.5/main'
i-068f647916f9f5e91,1565302068-3,c4.large,60.32888388633728,10,10,1,TPC-B (sort of),simple,60 s,64751,data_directory = '/var/lib/postgresql/9.5/main'
i-068f647916f9f5e91,1565302068-4,c4.large,60.26228952407837,10,10,1,TPC-B (sort of),simple,60 s,65065,data_directory = '/var/lib/postgresql/9.5/main'
i-068f647916f9f5e91,1565302068-5,c4.large,60.264174938201904,10,10,1,TPC-B (sort of),simple,60 s,65420,data_directory = '/var/lib/postgresql/9.5/main'
i-068f647916f9f5e91,1565302068-6,c4.large,60.251147508621216,10,10,1,TPC-B (sort of),simple,60 s,66772,data_directory = '/var/lib/postgresql/9.5/main'
i-068f647916f9f5e91,1565302068-7,c4.large,60.301228046417236,10,10,1,TPC-B (sort of),simple,60 s,65982,data_directory = '/var/lib/postgresql/9.5/main'
i-068f647916f9f5e91,1565302068-8,c4.large,60.30933380126953,10,10,1,TPC-B (sort of),simple,60 s,68330,data_directory = '/var/lib/postgresql/9.5/main'
i-068f647916f9f5e91,1565302068-9,c4.large,60.29330921173096,10,10,1,TPC-B (sort of),simple,60 s,66266,data_directory = '/var/lib/postgresql/9.5/main'
i-068f647916f9f5e91,1565302068-10,c4.large,60.3039128780365,10,10,1,TPC-B (sort of),simple,60 s,65940,data_directory = '/var/lib/postgresql/9.5/main'
i-068f647916f9f5e91,1565302068-11,c4.large,60.29083514213562,10,10,1,TPC-B (sort of),simple,60 s,68543,data_directory = '/var/lib/postgresql/9.5/main'
i-068f647916f9f5e91,1565302068-12,c4.large,60.24548625946045,10,10,1,TPC-B (sort of),simple,60 s,67505,data_directory = '/var/lib/postgresql/9.5/main'
